idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,PagDiagnosiDiGravidanza,DataAnalisiPag,NumeroCampionePag
-9223372036723829417,-9223372036848661321,21,BZ,C4,11,27,1,2018,POSITIVA,2018-01-27,10.0
-9223372036723829420,-9223372036848662495,21,BZ,C4,11,27,1,2018,NEGATIVA,2018-01-27,1.0
-9223372036723829637,-9223372036848642938,21,BZ,C4,11,6,1,2018,POSITIVA,2018-01-06,6.0
-9223372036723829638,-9223372036848657483,21,BZ,C4,11,6,1,2018,POSITIVA,2018-01-06,3.0
-9223372036723829827,-9223372036848641385,21,BZ,C4,11,12,1,2018,POSITIVA,2018-01-12,48.0
-9223372036723829830,-9223372036848651118,21,BZ,C4,11,12,1,2018,POSITIVA,2018-01-12,43.0
-9223372036723829834,-9223372036848652186,21,BZ,C4,11,12,1,2018,POSITIVA,2018-01-12,40.0
-9223372036723830000,-9223372036848662205,21,BZ,C4,11,3,1,2018,NEGATIVA,2018-01-03,152.0
-9223372036723830934,-9223372036848646419,21,BZ,C4,11,18,1,2018,POSITIVA,2018-01-18,5.0
-9223372036723831507,-9223372036848656801,21,BZ,C4,11,29,1,2018,POSITIVA,2018-01-29,72.0
-9223372036723831624,-9223372036848642968,21,BZ,C4,11,8,1,2018,POSITIVA,2018-01-08,184.0
-9223372036723831637,-9223372036848659533,21,BZ,C4,11,8,1,2018,POSITIVA,2018-01-08,160.0
-9223372036723831639,-9223372036849108131,21,BZ,C4,11,8,1,2018,POSITIVA,2018-01-08,176.0
-9223372036723831873,-9223372036848622360,21,BZ,C4,11,16,1,2018,POSITIVA,2018-01-16,53.0
-9223372036723831881,-9223372036848662245,21,BZ,C4,11,2,1,2018,POSITIVA,2018-01-02,91.0
-9223372036723832024,-9223372036848632460,21,BZ,C4,11,16,1,2018,POSITIVA,2018-01-16,79.0
-9223372036723832271,-9223372036848620238,21,BZ,C4,11,17,1,2018,POSITIVA,2018-01-17,48.0
