"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","DataIdentificazioneUnivoca","IdentificazioneSoggetto"
-9223372036155529216,-9223372036847907840,22,"TN","C4",11,12,11,2018,"2018-11-12",-9223372036847907840
-9223372036155613184,-9223372036846478336,24,"VI","C4",11,10,11,2018,"2018-11-10",-9223372036846478336
-9223372036155659264,-9223372036847873024,22,"TN","C4",11,5,11,2018,"2018-11-05",-9223372036847872000
-9223372033106058240,-9223372036833984512,21,"BZ","C4",11,14,12,2018,"2018-12-14",-9223372036833984512
-9223372033809245184,-9223372036830816256,21,"BZ","C4",11,15,12,2018,"2018-12-15",-9223372036830816256
-9223372035236224000,-9223372036833917952,22,"TN","C4",11,5,12,2018,"2018-12-05",-9223372036833917952
-9223372035353363456,-9223372036833946624,22,"TN","C4",11,22,12,2018,"2018-12-22",-9223372036833947648
-9223372036084635648,-9223372036844261376,21,"BZ","C4",11,20,12,2018,"2018-12-20",-9223372036844260352
-9223372036116210688,-9223372036846086144,14,"SO","C4",11,8,12,2018,"2018-12-08",-9223372036846086144
-9223372036116260864,-9223372036849496064,4,"CN","C4",11,22,12,2018,"2018-12-22",-9223372036849496064
-9223372036154914816,-9223372036847640576,93,"PN","C4",11,22,12,2018,"2018-12-22",-9223372036847639552
-9223372036155442176,-9223372036846666752,17,"BS","C4",11,10,12,2018,"2018-12-10",-9223372036846667776
-9223372036155469824,-9223372036846500864,20,"MN","C4",11,21,12,2018,"2018-12-21",-9223372036846499840
-9223372036155708416,-9223372036846545920,16,"BG","C4",11,4,12,2018,"2018-12-04",-9223372036846545920
-9223372036155779072,-9223372036847440896,24,"VI","C4",11,30,12,2018,"2018-12-30",-9223372036847439872
-9223372030083209216,-9223372036833915904,21,"BZ","C4",11,17,1,2019,"2019-01-17",-9223372036833915904
-9223372030516453376,-9223372036833903616,21,"BZ","C4",11,5,1,2019,"2019-01-05",-9223372036833903616
