"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","CodiceAziendaNascita","DestinazioneSoggetto","PesoAllaNascita","NumeroCapezzoli","date_formatted"
-9223372036158302208,-9223372036846485504,22,"TN","C4",11,1,11,2017,-9223372036849256448,"Vita",NA,NA,2017-11-01
-9223372036158326784,-9223372036846943232,21,"BZ","C4",11,1,11,2017,-9223372036849259520,"Vita",NA,NA,2017-11-01
-9223372036158326784,-9223372036846937088,21,"BZ","C4",11,1,11,2017,-9223372036849261568,"Vita",NA,NA,2017-11-01
-9223372036158327808,-9223372036847365120,21,"BZ","C4",11,1,11,2017,-9223372036849261568,"Vita",NA,NA,2017-11-01
-9223372036158327808,-9223372036846940160,21,"BZ","C4",11,1,11,2017,-9223372036849261568,"Vita",NA,NA,2017-11-01
-9223372036158330880,-9223372036846936064,21,"BZ","C4",11,1,11,2017,-9223372036849261568,"Vita",NA,NA,2017-11-01
-9223372036158338048,-9223372036846941184,21,"BZ","C4",11,1,11,2017,-9223372036849261568,"Vita",NA,NA,2017-11-01
-9223372036158341120,-9223372036846494720,21,"BZ","C4",11,1,11,2017,-9223372036849263616,"Vita",NA,NA,2017-11-01
-9223372036158345216,-9223372036847348736,21,"BZ","C4",11,1,11,2017,-9223372036849263616,"Vita",NA,NA,2017-11-01
-9223372036158348288,-9223372036846947328,21,"BZ","C4",11,1,11,2017,-9223372036849263616,"Vita",NA,NA,2017-11-01
-9223372036159050752,-9223372036846551040,16,"BG","C4",11,1,11,2017,-9223372036850492416,"Vita",NA,NA,2017-11-01
-9223372036158242816,-9223372036847209472,14,"SO","C4",11,2,11,2017,-9223372036849185792,"Macello",520,NA,2017-11-02
-9223372036158334976,-9223372036846938112,21,"BZ","C4",11,2,11,2017,-9223372036849263616,"Vita",NA,NA,2017-11-02
-9223372036158336000,-9223372036849357824,21,"BZ","C4",11,3,11,2017,-9223372036849261568,"Vita",NA,NA,2017-11-03
-9223372036158660608,-9223372036849294336,1,"TO","C4",11,3,11,2017,-9223372036850035712,"Vita",350,NA,2017-11-03
-9223372036158320640,-9223372036846607360,21,"BZ","C4",11,4,11,2017,-9223372036849259520,"Vita",NA,NA,2017-11-04
-9223372036158560256,-9223372036847268864,1,"TO","C4",11,4,11,2017,-9223372036849920000,"Macello",350,NA,2017-11-04
-9223372036159114240,-9223372036846718976,97,"LC","C4",11,4,11,2017,-9223372036850555904,"Vita",NA,NA,2017-11-04
-9223372036109051904,-9223372036845702144,21,"BZ","C4",11,5,11,2017,-9223372036847416320,"Vita",NA,NA,2017-11-05
-9223372036158295040,-9223372036847817728,22,"TN","C4",11,5,11,2017,-9223372036849256448,"Vita",NA,NA,2017-11-05
-9223372036158297088,-9223372036846643200,22,"TN","C4",11,5,11,2017,-9223372036849256448,"Vita",NA,NA,2017-11-05
-9223372036158291968,-9223372036846885888,25,"BL","C4",11,6,11,2017,-9223372036849256448,"Macello",NA,NA,2017-11-06
-9223372036158342144,-9223372036846493696,21,"BZ","C4",11,6,11,2017,-9223372036849263616,"Macello",NA,NA,2017-11-06
-9223372036158376960,-9223372036846722048,96,"BI","C4",11,6,11,2017,-9223372036849267712,"Vita",350,NA,2017-11-06
-9223372036158396416,-9223372036847207424,14,"SO","C4",11,6,11,2017,-9223372036849414144,"Macello",370,NA,2017-11-06
-9223372033793630208,-9223372036834556928,21,"BZ","C4",11,7,11,2017,-9223372036847408128,"Vita",NA,NA,2017-11-07
-9223372036158219264,-9223372036846445568,57,"RI","C4",11,7,11,2017,-9223372036849179648,"Vita",NA,NA,2017-11-07
-9223372036158406656,-9223372036847273984,1,"TO","C4",11,7,11,2017,-9223372036849422336,"Vita",350,NA,2017-11-07
-9223372036158853120,-9223372036849228800,24,"VI","C4",11,7,11,2017,-9223372036850264064,"Vita",350,NA,2017-11-07
-9223372036103835648,-9223372036845390848,21,"BZ","C4",11,8,11,2017,-9223372036849183744,"Macello",NA,NA,2017-11-08
-9223372036104184832,-9223372036847346688,21,"BZ","C4",11,8,11,2017,-9223372036849263616,"Vita",NA,NA,2017-11-08
-9223372036158333952,-9223372036847327232,21,"BZ","C4",11,8,11,2017,-9223372036849261568,"Vita",NA,NA,2017-11-08
-9223372036158334976,-9223372036847878144,21,"BZ","C4",11,8,11,2017,-9223372036849261568,"Vita",NA,NA,2017-11-08
-9223372036158340096,-9223372036846648320,21,"BZ","C4",11,9,11,2017,-9223372036849263616,"Vita",NA,NA,2017-11-09
-9223372036158396416,-9223372036849423360,14,"SO","C4",11,9,11,2017,-9223372036849424384,"Vita",360,NA,2017-11-09
-9223372036158398464,-9223372036849308672,1,"TO","C4",11,9,11,2017,-9223372036849468416,"Vita",300,NA,2017-11-09
-9223372036158403584,-9223372036849215488,1,"TO","C4",11,9,11,2017,-9223372036849468416,"Vita",350,NA,2017-11-09
-9223372036158336000,-9223372036847364096,21,"BZ","C4",11,10,11,2017,-9223372036849261568,"Vita",NA,NA,2017-11-10
-9223372036158346240,-9223372036847376384,21,"BZ","C4",11,10,11,2017,-9223372036849263616,"Vita",NA,NA,2017-11-10
-9223372036158885888,-9223372036850292736,2,"VC","C4",11,10,11,2017,-9223372036850291712,"Vita",400,NA,2017-11-10
-9223372036092687360,-9223372036847366144,21,"BZ","C4",11,11,11,2017,-9223372036847391744,"Vita",NA,NA,2017-11-11
-9223372036158320640,-9223372036849300480,21,"BZ","C4",11,11,11,2017,-9223372036849259520,"Vita",NA,NA,2017-11-11
-9223372036158412800,-9223372036846868480,30,"UD","C4",11,11,11,2017,-9223372036849609728,"Vita",NA,NA,2017-11-11
-9223372036158566400,-9223372036849401856,1,"TO","C4",11,11,11,2017,-9223372036849920000,"Vita",350,NA,2017-11-11
-9223372036158655488,-9223372036847277056,1,"TO","C4",11,11,11,2017,-9223372036850035712,"Vita",300,NA,2017-11-11
-9223372036158239744,-9223372036847733760,54,"PG","C4",11,12,11,2017,-9223372036849183744,"Vita",NA,NA,2017-11-12
-9223372036158342144,-9223372036847923200,21,"BZ","C4",11,12,11,2017,-9223372036849263616,"Vita",NA,NA,2017-11-12
-9223372036158350336,-9223372036846604288,21,"BZ","C4",11,12,11,2017,-9223372036849263616,"Vita",NA,NA,2017-11-12
-9223372036158659584,-9223372036846552064,16,"BG","C4",11,13,11,2017,-9223372036850039808,"Macello",NA,NA,2017-11-13
-9223372036158346240,-9223372036846935040,21,"BZ","C4",11,14,11,2017,-9223372036849263616,"Vita",NA,NA,2017-11-14
-9223372036096235520,-9223372036849438720,21,"BZ","C4",11,15,11,2017,-9223372036849259520,"Vita",NA,NA,2017-11-15
-9223372036158244864,-9223372036847363072,20,"MN","C4",11,15,11,2017,-9223372036849187840,"Vita",420,NA,2017-11-15
-9223372036158295040,-9223372036846484480,22,"TN","C4",11,15,11,2017,-9223372036849256448,"Vita",NA,NA,2017-11-15
-9223372036158246912,-9223372036846583808,4,"CN","C4",11,16,11,2017,-9223372036849187840,"Vita",350,NA,2017-11-16
