idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,CodiceAziendaNascita,DestinazioneSoggetto,PesoAllaNascita,NumeroCapezzoli
-9223372036106954429,-9223372036848117780,21,BZ,C4,11,2,3,2017,-9.223372036849261e+18,Vita,,
-9223372036106963961,-9223372036848119197,21,BZ,C4,11,16,3,2017,-9.223372036849262e+18,Vita,,
-9223372036106971552,-9223372036848117960,21,BZ,C4,11,27,3,2017,-9.223372036849263e+18,Vita,,
-9223372036106981085,-9223372036848120164,21,BZ,C4,11,8,3,2017,-9.223372036849264e+18,Vita,,
-9223372036107645615,-9223372036848116592,21,BZ,C4,11,27,3,2017,-9.223372036849262e+18,Vita,,
-9223372036107656538,-9223372036848119337,21,BZ,C4,11,15,3,2017,-9.223372036849263e+18,Vita,,
-9223372036107660499,-9223372036848120174,21,BZ,C4,11,3,3,2017,-9.223372036849264e+18,Vita,,
-9223372036108007570,-9223372036848119011,21,BZ,C4,11,8,3,2017,-9.223372036849263e+18,Vita,,
-9223372036108330041,-9223372036848117016,21,BZ,C4,11,17,3,2017,-9.223372036849262e+18,Vita,,
-9223372036108332981,-9223372036848117636,21,BZ,C4,11,23,3,2017,-9.223372036849262e+18,Vita,,
-9223372036108675839,-9223372036848120375,21,BZ,C4,11,6,3,2017,-9.223372036849263e+18,Vita,,
-9223372036109433079,-9223372036848118489,21,BZ,C4,11,9,3,2017,-9.223372036849262e+18,Vita,,
-9223372036109433081,-9223372036848118490,21,BZ,C4,11,6,3,2017,-9.223372036849262e+18,Vita,,
-9223372036109435590,-9223372036848117968,21,BZ,C4,11,2,3,2017,-9.223372036849262e+18,Vita,,
-9223372036109784020,-9223372036849299053,21,BZ,C4,11,11,3,2017,-9.223372036849263e+18,Vita,,
-9223372036109784075,-9223372036848119007,21,BZ,C4,11,28,3,2017,-9.223372036849263e+18,Vita,,
-9223372036110782469,-9223372036848117967,21,BZ,C4,11,16,3,2017,-9.223372036849262e+18,Vita,,
-9223372036110784307,-9223372036848117059,21,BZ,C4,11,3,3,2017,-9.223372036849263e+18,Vita,,
-9223372036110984336,-9223372036848119012,21,BZ,C4,11,11,3,2017,-9.223372036849263e+18,Vita,,
-9223372036111107253,-9223372036848116595,21,BZ,C4,11,24,3,2017,-9.223372036849262e+18,Vita,,
-9223372036111468061,-9223372036848117993,21,BZ,C4,11,12,3,2017,-9.223372036849262e+18,Vita,,
-9223372036113006628,-9223372036848118577,21,BZ,C4,11,3,3,2017,-9.223372036849262e+18,Vita,,
-9223372036113885565,-9223372036845968158,22,TN,C4,11,20,3,2017,-9.223372036849256e+18,Vita,,
-9223372036119389394,-9223372036846134781,21,BZ,C4,11,6,3,2017,-9.223372036849262e+18,Vita,,
-9223372036121116660,-9223372036848119673,21,BZ,C4,11,7,3,2017,-9.22337203684926e+18,Vita,,
-9223372036082484159,-9223372036846368391,97,LC,C4,11,24,4,2017,-9.223372036850152e+18,Vita,,
-9223372036086503312,-9223372036847926690,21,BZ,C4,11,23,4,2017,-9.223372036849263e+18,Vita,,
-9223372036089887296,-9223372036847939642,21,BZ,C4,11,24,4,2017,-9.223372036849263e+18,Vita,,
-9223372036092384537,-9223372036847948456,21,BZ,C4,11,21,4,2017,-9.223372036849262e+18,Vita,,
-9223372036093160785,-9223372036847951936,21,BZ,C4,11,4,4,2017,-9.223372036849262e+18,Vita,,
-9223372036096237663,-9223372036847961593,21,BZ,C4,11,28,4,2017,-9.223372036849262e+18,Vita,,
-9223372036100368743,-9223372036847976558,21,BZ,C4,11,3,4,2017,-9.223372036849264e+18,Vita,,
-9223372036101665423,-9223372036847987678,21,BZ,C4,11,6,4,2017,-9.223372036849262e+18,Vita,,
-9223372036101665442,-9223372036847987681,21,BZ,C4,11,16,4,2017,-9.223372036849262e+18,Vita,,
-9223372036101666414,-9223372036847987687,21,BZ,C4,11,25,4,2017,-9.223372036849262e+18,Vita,,
-9223372036103645709,-9223372036847994858,21,BZ,C4,11,20,4,2017,-9.223372036849262e+18,Vita,,
-9223372036104181330,-9223372036847999741,21,BZ,C4,11,14,4,2017,-9.223372036849262e+18,Vita,,
-9223372036104370811,-9223372036848001844,21,BZ,C4,11,2,4,2017,-9.223372036849262e+18,Vita,,
-9223372036105099848,-9223372036848007063,21,BZ,C4,11,10,4,2017,-9.223372036849262e+18,Vita,,
-9223372036105431029,-9223372036848009794,21,BZ,C4,11,19,4,2017,-9.223372036849261e+18,Vita,,
-9223372036105434866,-9223372036847997073,21,BZ,C4,11,13,4,2017,-9.223372036849262e+18,Vita,,
-9223372036105887415,-9223372036848013267,21,BZ,C4,11,8,4,2017,-9.223372036849262e+18,Vita,,
-9223372036105887722,-9223372036848013268,21,BZ,C4,11,1,4,2017,-9.223372036849262e+18,Vita,,
-9223372036105888324,-9223372036848013270,21,BZ,C4,11,5,4,2017,-9.223372036849262e+18,Vita,,
-9223372036105889236,-9223372036848013274,21,BZ,C4,11,1,4,2017,-9.223372036849262e+18,Vita,,
-9223372036105898890,-9223372036847999733,21,BZ,C4,11,15,4,2017,-9.223372036849262e+18,Vita,,
-9223372036106177461,-9223372036848015254,21,BZ,C4,11,27,4,2017,-9.223372036849261e+18,Vita,,
-9223372036106177463,-9223372036848015255,21,BZ,C4,11,1,4,2017,-9.223372036849261e+18,Vita,,
-9223372036106177769,-9223372036848015256,21,BZ,C4,11,1,4,2017,-9.223372036849262e+18,Vita,,
-9223372036106965016,-9223372036848116426,21,BZ,C4,11,28,4,2017,-9.223372036849262e+18,Vita,,
-9223372036107443077,-9223372036848120201,21,BZ,C4,11,9,4,2017,-9.223372036849263e+18,Vita,,
-9223372036107448968,-9223372036848119071,21,BZ,C4,11,6,4,2017,-9.223372036849264e+18,Vita,,
-9223372036107641717,-9223372036848119195,21,BZ,C4,11,5,4,2017,-9.223372036849262e+18,Vita,,
-9223372036107645613,-9223372036848116581,21,BZ,C4,11,24,4,2017,-9.223372036849262e+18,Vita,,
-9223372036108002442,-9223372036848116425,21,BZ,C4,11,24,4,2017,-9.223372036849262e+18,Vita,,
-9223372036108010773,-9223372036848015358,21,BZ,C4,11,17,4,2017,-9.223372036849263e+18,Vita,,
-9223372036108654151,-9223372036848118723,21,BZ,C4,11,23,4,2017,-9.22337203684926e+18,Vita,,
-9223372036109052266,-9223372036848119193,21,BZ,C4,11,26,4,2017,-9.223372036849262e+18,Vita,,
-9223372036109072247,-9223372036848119070,21,BZ,C4,11,12,4,2017,-9.223372036849264e+18,Vita,,
-9223372036109433075,-9223372036848116587,21,BZ,C4,11,9,4,2017,-9.223372036849262e+18,Vita,,
-9223372036109433077,-9223372036848116588,21,BZ,C4,11,9,4,2017,-9.223372036849262e+18,Vita,,
-9223372036110781870,-9223372036848119324,21,BZ,C4,11,13,4,2017,-9.223372036849262e+18,Vita,,
-9223372036110782467,-9223372036848117961,21,BZ,C4,11,6,4,2017,-9.223372036849262e+18,Vita,,
-9223372036110782843,-9223372036848119005,21,BZ,C4,11,16,4,2017,-9.223372036849263e+18,Vita,,
-9223372036119165967,-9223372036846126835,28,PD,C4,11,21,4,2017,-9.223372036849961e+18,Vita,,
-9223372036121286572,-9223372036847952769,21,BZ,C4,11,18,4,2017,-9.223372036849262e+18,Vita,,
-9223372036121960793,-9223372036846945800,21,BZ,C4,11,17,4,2017,-9.223372036847452e+18,Vita,,
-9223372036122415535,-9223372036846944756,21,BZ,C4,11,20,4,2017,-9.223372036849174e+18,Vita,,
