idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataMacellazione,PesoCarcassa,PesoVivo,Categoria,Classificazione,PaeseDiProvenienza,ArrivatoMortoAlMacello,CodiceCausaleMorte,CarcassaDestinataAlConsumo,PaeseDiProvenienzaIso31663char
-9223372036060285009,-9223372036846944680,21,BZ,C4,11,29,1,2018,2018-01-29,93.0,,,,IT,N,,N,
-9223372036060285646,-9223372036843759488,21,BZ,C4,11,29,1,2018,2018-01-29,,,,,IT,N,,N,
-9223372036060295138,-9223372036847282373,1,TO,C4,11,31,1,2018,2018-01-31,,,E,R2,IT,N,,N,
-9223372036060296969,-9223372036846494633,21,BZ,C4,11,30,1,2018,2018-01-30,77.5,,,,IT,N,,N,
-9223372036060297010,-9223372036843760247,21,BZ,C4,11,30,1,2018,2018-01-30,,,,,IT,N,,N,
-9223372036060297020,-9223372036843760248,21,BZ,C4,11,30,1,2018,2018-01-30,,,,,IT,N,,N,
-9223372036060297060,-9223372036847821268,21,BZ,C4,11,30,1,2018,2018-01-30,,,,,IT,N,,N,
-9223372036060297225,-9223372036843760264,21,BZ,C4,11,29,1,2018,2018-01-29,,,,,IT,N,,N,
-9223372036060297236,-9223372036843760265,21,BZ,C4,11,29,1,2018,2018-01-29,,,,,IT,N,,N,
-9223372036060297273,-9223372036846947024,21,BZ,C4,11,29,1,2018,2018-01-29,,,,,IT,N,,N,
-9223372036060300795,-9223372036843760392,21,BZ,C4,11,29,1,2018,2018-01-29,,,,,IT,N,,N,
-9223372036060300806,-9223372036848662480,21,BZ,C4,11,29,1,2018,2018-01-29,,,,,IT,N,,N,
-9223372036060300817,-9223372036846946270,21,BZ,C4,11,29,1,2018,2018-01-29,,,,,IT,N,,N,
-9223372036060300829,-9223372036846943007,21,BZ,C4,11,29,1,2018,2018-01-29,139.5,,,,IT,N,,N,
-9223372036060301195,-9223372036843760420,21,BZ,C4,11,29,1,2018,2018-01-29,127.1,,,,IT,N,,N,
