,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataDiagnosiGravidanza,EsitoDiagnosiGravidanza,full_date,identifying_column
129,-9223372036216478845,-9223372036848653075,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA,2017-11-07,-9223372036848653075_2017-11-07
130,-9223372036216478860,-9223372036848635156,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA,2017-11-07,-9223372036848635156_2017-11-07
131,-9223372036216478863,-9223372036849134702,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA,2017-11-07,-9223372036849134702_2017-11-07
132,-9223372036216478876,-9223372036849122848,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036849122848_2017-11-28
133,-9223372036216479229,-9223372036848662305,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA,2017-11-11,-9223372036848662305_2017-11-11
134,-9223372036216480116,-9223372036848658020,21,BZ,C4,11,25,11,2017,2017-11-25,NEGATIVA,2017-11-25,-9223372036848658020_2017-11-25
135,-9223372036216480139,-9223372036848636176,21,BZ,C4,11,1,11,2017,2017-11-01,POSITIVA,2017-11-01,-9223372036848636176_2017-11-01
136,-9223372036216480594,-9223372036848659224,21,BZ,C4,11,30,11,2017,2017-11-30,NEGATIVA,2017-11-30,-9223372036848659224_2017-11-30
137,-9223372036216480611,-9223372036848626021,21,BZ,C4,11,17,11,2017,2017-11-17,POSITIVA,2017-11-17,-9223372036848626021_2017-11-17
138,-9223372036216480630,-9223372036848645095,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA,2017-11-11,-9223372036848645095_2017-11-11
139,-9223372036216481028,-9223372036848661114,21,BZ,C4,11,16,11,2017,2017-11-16,POSITIVA,2017-11-16,-9223372036848661114_2017-11-16
140,-9223372036216481062,-9223372036848621532,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848621532_2017-11-28
141,-9223372036216481063,-9223372036848624554,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848624554_2017-11-28
142,-9223372036216481064,-9223372036848629170,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848629170_2017-11-28
143,-9223372036216481460,-9223372036848637197,21,BZ,C4,11,17,11,2017,2017-11-17,POSITIVA,2017-11-17,-9223372036848637197_2017-11-17
144,-9223372036216481463,-9223372036848624518,21,BZ,C4,11,20,11,2017,2017-11-20,POSITIVA,2017-11-20,-9223372036848624518_2017-11-20
145,-9223372036216481513,-9223372036848626505,21,BZ,C4,11,8,11,2017,2017-11-08,NEGATIVA,2017-11-08,-9223372036848626505_2017-11-08
146,-9223372036216481521,-9223372036848657317,21,BZ,C4,11,16,11,2017,2017-11-16,POSITIVA,2017-11-16,-9223372036848657317_2017-11-16
147,-9223372036216481902,-9223372036848644395,21,BZ,C4,11,6,11,2017,2017-11-06,POSITIVA,2017-11-06,-9223372036848644395_2017-11-06
148,-9223372036216482788,-9223372036848630154,21,BZ,C4,11,8,11,2017,2017-11-08,POSITIVA,2017-11-08,-9223372036848630154_2017-11-08
149,-9223372036216483193,-9223372036848647140,21,BZ,C4,11,8,11,2017,2017-11-08,POSITIVA,2017-11-08,-9223372036848647140_2017-11-08
150,-9223372036216483212,-9223372036848651606,21,BZ,C4,11,14,11,2017,2017-11-14,POSITIVA,2017-11-14,-9223372036848651606_2017-11-14
151,-9223372036216483640,-9223372036848660600,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA,2017-11-04,-9223372036848660600_2017-11-04
152,-9223372036216483642,-9223372036849135504,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA,2017-11-04,-9223372036849135504_2017-11-04
