,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcssIndiceCelluleSomatiche,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,NumeroDiFiglie,NumeroDiAziende,AreaGeograficaEsteraDiInfluenzaSuCalcolo,identifying_column
8097,-9223372035851946225,-9223372036847963951,,,C4,11,6,5,2021,121.0,66.0,GENETICO,Semestrale,2021,,,,-9223372036847963951_2021
8098,-9223372035851946237,-9223372036847951967,,,C4,11,6,5,2021,114.0,56.0,GENETICO,Semestrale,2021,,,,-9223372036847951967_2021
8099,-9223372035851946249,-9223372036847940358,,,C4,11,6,5,2021,100.0,67.0,GENETICO,Semestrale,2021,,,,-9223372036847940358_2021
8100,-9223372035851946261,-9223372036847954006,,,C4,11,6,5,2021,102.0,61.0,GENETICO,Semestrale,2021,,,,-9223372036847954006_2021
8101,-9223372035851946273,-9223372036847973900,,,C4,11,6,5,2021,101.0,70.0,GENETICO,Semestrale,2021,,,,-9223372036847973900_2021
8102,-9223372035851946285,-9223372036847961460,,,C4,11,6,5,2021,100.0,67.0,GENETICO,Semestrale,2021,,,,-9223372036847961460_2021
8103,-9223372035851946297,-9223372036846943444,,,C4,11,6,5,2021,97.0,61.0,GENETICO,Semestrale,2021,,,,-9223372036846943444_2021
8104,-9223372035851946309,-9223372036847954072,,,C4,11,6,5,2021,105.0,65.0,GENETICO,Semestrale,2021,,,,-9223372036847954072_2021
8105,-9223372035851946321,-9223372036847955162,,,C4,11,6,5,2021,91.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847955162_2021
8106,-9223372035851946333,-9223372036847941799,,,C4,11,6,5,2021,106.0,64.0,GENETICO,Semestrale,2021,,,,-9223372036847941799_2021
8107,-9223372035851946345,-9223372036847936340,,,C4,11,6,5,2021,97.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036847936340_2021
8108,-9223372035851946357,-9223372036847940407,,,C4,11,6,5,2021,100.0,59.0,GENETICO,Semestrale,2021,,,,-9223372036847940407_2021
8109,-9223372035851946369,-9223372036847945062,,,C4,11,6,5,2021,108.0,64.0,GENETICO,Semestrale,2021,,,,-9223372036847945062_2021
8110,-9223372035851946381,-9223372036847951950,,,C4,11,6,5,2021,104.0,55.0,GENETICO,Semestrale,2021,,,,-9223372036847951950_2021
8111,-9223372035851946393,-9223372036847954129,,,C4,11,6,5,2021,98.0,65.0,GENETICO,Semestrale,2021,,,,-9223372036847954129_2021
8112,-9223372035851946405,-9223372036847938440,,,C4,11,6,5,2021,101.0,58.0,GENETICO,Semestrale,2021,,,,-9223372036847938440_2021
8113,-9223372035851946417,-9223372036847950627,,,C4,11,6,5,2021,100.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847950627_2021
8114,-9223372035851946429,-9223372036847950626,,,C4,11,6,5,2021,105.0,55.0,GENETICO,Semestrale,2021,,,,-9223372036847950626_2021
8115,-9223372035851946441,-9223372036846945414,,,C4,11,6,5,2021,104.0,60.0,GENETICO,Semestrale,2021,,,,-9223372036846945414_2021
8116,-9223372035851946453,-9223372036846945416,,,C4,11,6,5,2021,101.0,58.0,GENETICO,Semestrale,2021,,,,-9223372036846945416_2021
8117,-9223372035851946465,-9223372036847951949,,,C4,11,6,5,2021,101.0,57.0,GENETICO,Semestrale,2021,,,,-9223372036847951949_2021
8118,-9223372035851946477,-9223372036847952866,,,C4,11,6,5,2021,104.0,69.0,GENETICO,Semestrale,2021,,,,-9223372036847952866_2021
8119,-9223372035851946489,-9223372036847972733,,,C4,11,6,5,2021,112.0,68.0,GENETICO,Semestrale,2021,,,,-9223372036847972733_2021
8120,-9223372035851946501,-9223372036847965806,,,C4,11,6,5,2021,108.0,66.0,GENETICO,Semestrale,2021,,,,-9223372036847965806_2021
8121,-9223372035851946513,-9223372036847945046,,,C4,11,6,5,2021,103.0,67.0,GENETICO,Semestrale,2021,,,,-9223372036847945046_2021
