idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataAsciutta
-9223372036220108723,-9223372036848630984,21,BZ,C4,11,14,11,2017,2017-11-14
-9223372036220108727,-9223372036848636865,21,BZ,C4,11,25,11,2017,2017-11-25
-9223372036220108732,-9223372036848659211,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220108755,-9223372036848635992,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220108767,-9223372036847856126,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220109194,-9223372036848630160,21,BZ,C4,11,30,11,2017,2017-11-30
-9223372036220109209,-9223372036848654994,21,BZ,C4,11,8,11,2017,2017-11-08
-9223372036220109462,-9223372036848656317,21,BZ,C4,11,24,11,2017,2017-11-24
-9223372036220109635,-9223372036848658165,21,BZ,C4,11,8,11,2017,2017-11-08
-9223372036220109671,-9223372036848638921,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220109673,-9223372036848646393,21,BZ,C4,11,17,11,2017,2017-11-17
-9223372036220109732,-9223372036848661867,21,BZ,C4,11,30,11,2017,2017-11-30
-9223372036220109857,-9223372036848647006,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220110057,-9223372036848655876,21,BZ,C4,11,25,11,2017,2017-11-25
-9223372036220110175,-9223372036848660716,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220110524,-9223372036849146582,21,BZ,C4,11,15,11,2017,2017-11-15
-9223372036220110544,-9223372036848655874,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220110609,-9223372036848647174,21,BZ,C4,11,4,11,2017,2017-11-04
-9223372036220110618,-9223372036848656911,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220110958,-9223372036848659705,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220111026,-9223372036849140757,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220111037,-9223372036848635970,21,BZ,C4,11,25,11,2017,2017-11-25
-9223372036220111071,-9223372036848639327,21,BZ,C4,11,16,11,2017,2017-11-16
-9223372036220111100,-9223372036848631453,21,BZ,C4,11,30,11,2017,2017-11-30
-9223372036220111422,-9223372036847856043,21,BZ,C4,11,7,11,2017,2017-11-07
-9223372036220111424,-9223372036848642777,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220111460,-9223372036849144325,21,BZ,C4,11,17,11,2017,2017-11-17
-9223372036220111465,-9223372036848645626,21,BZ,C4,11,3,11,2017,2017-11-03
-9223372036220111499,-9223372036848657335,21,BZ,C4,11,22,11,2017,2017-11-22
-9223372036220111531,-9223372036848643685,21,BZ,C4,11,2,11,2017,2017-11-02
-9223372036220111802,-9223372036849428352,21,BZ,C4,11,12,11,2017,2017-11-12
-9223372036220111814,-9223372036848639312,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220111847,-9223372036848649386,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220111851,-9223372036848632457,21,BZ,C4,11,13,11,2017,2017-11-13
-9223372036220111872,-9223372036848641319,21,BZ,C4,11,24,11,2017,2017-11-24
-9223372036220111875,-9223372036848636668,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220111886,-9223372036848642754,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220111923,-9223372036848634245,21,BZ,C4,11,4,11,2017,2017-11-04
-9223372036220112003,-9223372036848636439,21,BZ,C4,11,15,11,2017,2017-11-15
-9223372036220112016,-9223372036849131578,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220112020,-9223372036848625981,21,BZ,C4,11,12,11,2017,2017-11-12
-9223372036220112156,-9223372036848660823,21,BZ,C4,11,4,11,2017,2017-11-04
-9223372036220112193,-9223372036848623794,21,BZ,C4,11,15,11,2017,2017-11-15
-9223372036220112207,-9223372036849099978,21,BZ,C4,11,9,11,2017,2017-11-09
-9223372036220112567,-9223372036848654988,21,BZ,C4,11,25,11,2017,2017-11-25
-9223372036220112610,-9223372036847855928,21,BZ,C4,11,25,11,2017,2017-11-25
-9223372036220112650,-9223372036847856140,21,BZ,C4,11,12,11,2017,2017-11-12
-9223372036220112656,-9223372036848655983,21,BZ,C4,11,3,11,2017,2017-11-03
-9223372036220112660,-9223372036848638712,21,BZ,C4,11,3,11,2017,2017-11-03
-9223372036220113138,-9223372036848633499,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220113140,-9223372036848649971,21,BZ,C4,11,22,11,2017,2017-11-22
-9223372036220113179,-9223372036848607289,21,BZ,C4,11,18,11,2017,2017-11-18
-9223372036220113375,-9223372036848654786,21,BZ,C4,11,25,11,2017,2017-11-25
-9223372036220113379,-9223372036848648327,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220113383,-9223372036847855995,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220113717,-9223372036848647883,21,BZ,C4,11,17,11,2017,2017-11-17
-9223372036220113793,-9223372036848630175,21,BZ,C4,11,22,11,2017,2017-11-22
-9223372036220113833,-9223372036848127682,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220113835,-9223372036848633649,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220113839,-9223372036848654581,21,BZ,C4,11,12,11,2017,2017-11-12
-9223372036220113847,-9223372036848636433,21,BZ,C4,11,25,11,2017,2017-11-25
-9223372036220113993,-9223372036848633453,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220114166,-9223372036848628905,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220114464,-9223372036848657777,21,BZ,C4,11,28,11,2017,2017-11-28
-9223372036220114659,-9223372036848656118,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220114667,-9223372036848662170,21,BZ,C4,11,30,11,2017,2017-11-30
-9223372036220114692,-9223372036848645246,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220114698,-9223372036848637267,21,BZ,C4,11,19,11,2017,2017-11-19
-9223372036220114758,-9223372036848633037,21,BZ,C4,11,26,11,2017,2017-11-26
-9223372036220114765,-9223372036848651586,21,BZ,C4,11,28,11,2017,2017-11-28
-9223372036220114793,-9223372036848644742,21,BZ,C4,11,12,11,2017,2017-11-12
-9223372036220114938,-9223372036847856042,21,BZ,C4,11,2,11,2017,2017-11-02
-9223372036220114941,-9223372036848647133,21,BZ,C4,11,24,11,2017,2017-11-24
-9223372036220114989,-9223372036848649039,21,BZ,C4,11,17,11,2017,2017-11-17
-9223372036220115083,-9223372036849081710,21,BZ,C4,11,28,11,2017,2017-11-28
-9223372036220115092,-9223372036848626059,21,BZ,C4,11,17,11,2017,2017-11-17
-9223372036220115093,-9223372036848637957,21,BZ,C4,11,17,11,2017,2017-11-17
-9223372036220115119,-9223372036848656898,21,BZ,C4,11,11,11,2017,2017-11-11
-9223372036220115287,-9223372036848658355,21,BZ,C4,11,27,11,2017,2017-11-27
-9223372036220115326,-9223372036848631670,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220115359,-9223372036848653586,21,BZ,C4,11,15,11,2017,2017-11-15
-9223372036220115829,-9223372036848633464,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220115862,-9223372036848642555,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220115882,-9223372036848644422,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220115884,-9223372036848655477,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220115889,-9223372036848647369,21,BZ,C4,11,17,11,2017,2017-11-17
-9223372036220115910,-9223372036848658806,21,BZ,C4,11,22,11,2017,2017-11-22
-9223372036220115975,-9223372036848654639,21,BZ,C4,11,14,11,2017,2017-11-14
-9223372036220116073,-9223372036848649805,21,BZ,C4,11,23,11,2017,2017-11-23
-9223372036220116083,-9223372036848660003,21,BZ,C4,11,1,11,2017,2017-11-01
-9223372036220116107,-9223372036848653171,21,BZ,C4,11,18,11,2017,2017-11-18
-9223372036220116146,-9223372036849103540,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220116157,-9223372036848661326,21,BZ,C4,11,20,11,2017,2017-11-20
